"Core_Material","Size","Zeta_Potential","Tumor_Size","Time_Point","Tumor","Heart","Liver","Spleen","Lung","Kidney"
"Polymeric",115,-31.8,"0.1 cm3",0.5,0.02,0.0291,27.15,0.33,0.05,1.89
"Dendrimer",6.7,16.3,"0.1 cm3",1,3.53,2.1635,6.37,2.22,2.34,6.13
"Polymeric",180,34.4,"0.275 cm3",1,0.25,0.0295,5.32,0.36,1.2,0.15
"Polymeric",149,-10.3,"0.05 cm3",1,0.14,0.3362,23.38,0.99,0.84,1.97
"Polymeric",149,-8.8,"0.05 cm3",1,0.25,0.3315,18.85,1.46,0.6,2.69
"Polymeric",135,-8.8,"0.125 cm3",0.5,0.12,0.1911,4.1,0.23,0.31,0.43
"Liposome",154.6,-8.8,"0.125 cm3",0.5,0.11,0.1857,2.33,0.35,0.21,0.36
"Liposome",20.4,3.91,"0.15 cm3",2,0.01,0.0144,0.49,0.06,0.05,0.06
"Liposome",110,-5.1,"0.25 cm3",3,0.08,0.0488,0.77,0.1,0.11,0.1
"Polymeric",111.3,-6.2,"0.25 cm3",3,0.08,0.0376,1.02,0.11,0.19,0.06
"Polymeric",106.8,35.6,"0.2 cm3",12,0.18,1.124,12.94,0.75,0.24,7.2
"Polymeric",227.3,28.3,"0.2 cm3",12,0.19,0.6598,14.7,0.24,0.14,8.28
"Polymeric",106.8,35.6,"0.2 cm3",12,0.14,0.5344,16.55,0.63,0.24,6.68
"Polymeric",227.3,28.3,"0.2 cm3",12,0.21,0.285,10.31,0.13,0.3,5.38
"Polymeric",90,0,"0.5 cm3",1,2.03,1.2309,24.85,1.01,1.2,3.48
"Polymeric",125.5,-7.4,"0.05 cm3",1,0.13,0.7015,3.86,0.38,0.24,0.78
"Polymeric",125,-2.3,"0.1 cm3",0.5,0.24,0.3415,3.22,0.41,0.3,0.93
"Polymeric",125,-22.6,"1.5 cm3",0.083,2.17,0.0454,7.95,0.18,0.36,0.15
"Polymeric",152,0,"0.05 cm3",1,0.24,1.4584,14.28,0.43,0.26,5.09
"Polymeric",163,0,"0.05 cm3",1,0.27,0.9274,5.7,1.17,0.99,1.66
"Liposome",152,0,"0.05 cm3",1,0.7,0.9573,48.08,1.29,0.32,4.56
"Polymeric",142.2,-31,"0.3 cm3",0.083,1.25,0.9783,60.43,4.35,1.63,1.74
"Polymeric",150,-22.1,"0.075 cm3",1,0.08,0.0752,31.33,1.19,0.5,0.46
"Polymeric",135,-22.1,"0.05 cm3",1,0.21,0.3333,21.28,1.65,1.08,2.76
"Polymeric",138,-22.1,"0.05 cm3",1,0.29,0.4092,18.3,1.44,0.82,3.04
"Polymeric",130,-36.7,"0.1 cm3",1,0.09,0.202,4.51,0.14,0.17,0.17
"Polymeric",150,0,"0.125 cm3",6,0.47,0.273,11.78,0.36,0.14,1.29
"Polymeric",153,0,"0.125 cm3",6,0.92,0.2345,8.79,0.25,0.14,1.13
"Polymeric",20.3,-2,"0.15 cm3",6,0.64,0.0141,2.85,0.1,0.12,1.51
"Polymeric",197.4,-20.4,"0.3 cm3",2,2.83,0.3107,31.81,0.71,0.45,3.75
"Polymeric",276.8,-23.5,"0.3 cm3",2,1.94,0.3466,34.31,0.6,0.42,3.52
"Polymeric",350,-27.2,"0.3 cm3",2,1.02,0.4203,37,0.51,0.4,2.86
"Polymeric",258.3,-23.7,"0.3 cm3",2,1.87,0.2969,27.8,0.66,0.29,2.34
"Polymeric",156.6,-23.7,"0.3 cm3",2,3.07,0.1608,23.46,0.51,0.21,2.29
"Liposome",115.7,-36.4,"0.05 cm3",0.5,0.41,2.1296,19.76,2.46,3.74,7.72
"Liposome",112.6,-39.7,"0.1 cm3",0.5,5.05,3.2214,27.28,2.07,3.64,5.79
"Polymeric",100,-15,"0.1 cm3",2,0.37,0.7301,3.75,0.89,0.54,1.58
"Polymeric",25,-1.8,"0.1 cm3",2,0.52,0.3524,15.59,0.88,0.66,3.62
"Polymeric",137,-15.6,"0.2 cm3",0.5,0.33,0.0669,0.46,0.26,0.02,0.26
"Polymeric",129,-9.1,"0.2 cm3",0.5,0.27,0.0639,0.85,0.26,0.02,0.27
"Polymeric",121,-2.4,"0.15 cm3",2,0.28,0.6503,2.97,0.81,0.75,1.82
"Polymeric",96,0,"0.08 cm3",1,3.95,0.3477,57.73,5.33,0.29,1.43
"Polymeric",282.1,-9.7,"0.09 cm3",1,0.13,0.2433,4.75,0.21,0.83,0.52
"Hydrogel",68.9,-40,"0.1 cm3",1,0.69,0.5665,10.95,0.43,0.81,3.19
"Hydrogel",57.3,-40,"0.1 cm3",1,0.48,0.5343,15.26,0.62,0.73,3
"Polymeric",163.4,-19.6,"0.1 cm3",1,3.16,2.737,30.58,2.33,3.94,6.72
"Polymeric",118.5,-13.7,"0.1 cm3",1,1.94,2.993,28.56,2.32,4.2,6.71
"Hydrogel",161,-30.9,"0.05 cm3",2,0.23,0.1431,16.35,1.44,0.85,1.28
"Dendrimer",55,-2.1,"0.62 cm3",1,3.5,0.3334,84.28,1.42,0.85,1.7
"Polymeric",13,-13.9,"0.25 cm3",1,1.34,0.8851,18.55,0.9,3.04,3.61
"Polymeric",150,-46.7,"0.1 cm3",1,15.48,17.7702,698.44,9.19,12.06,62.75
"Liposome",121,-4.3,"0.1 cm3",1,0.15,0.6125,5.63,0.06,0.45,0.96
"Polymeric",144,-16.49,"0.1 cm3",6,0.26,0.1874,3.33,0.26,0.49,1.05
"Liposome",158.3,-8.96,"0.05 cm3",1,0.29,0.3415,5.09,0.04,0.14,1.64
"Liposome",147.5,-12.54,"0.05 cm3",1,0.12,0.5976,10.18,0.03,0.18,2.04
"Liposome",139.3,-13.92,"0.05 cm3",1,0.2,0.7317,16.47,0.25,0.32,1.96
"Polymeric",87.62,-20.8,"0.256 cm3",1,0.05,0.6386,66.61,0.96,9.22,1.78
"Polymeric",89.74,-14.7,"0.256 cm3",2,0.6,0.2745,5.02,0.21,5.2,1
"Liposome",120,-25,"0.063 cm3",6,0.33,0.503,11.09,0.41,0.92,2.31
"Liposome",135,-18,"0.063 cm3",6,0.61,0.667,8.06,0.32,1.04,1.99
"Gold",143.2,-8.8,"0.9 cm3",2,6.78,0.3441,14.52,0.36,0.42,1.75
"Polymeric",32.78,-1.74,"0.21 cm3",1,3.24,0.1081,6.24,0.09,0.29,0.38
"Polymeric",32.78,-1.74,"0.21 cm3",1,1.73,0.5651,31.13,0.83,1.18,1.13
"Polymeric",282.54,-19.7,"0.1 cm3",0.17,0.01,0.0069,4.83,0.23,0.13,0.21
"Copper",250,-15.8,"0.1 cm3",1,0.37,0.2567,16.14,1.87,2.4,0.91
"Polymeric",150,-2.629,"0.125 cm3",2,0.23,0.2068,9.56,0.6,1.17,2.51
"Polymeric",150,-1.078,"0.125 cm3",2,0.24,0.2045,9.6,0.61,1.17,2.52
"Manganese",100,-8,"0.1 cm3",12,1.18,0.4391,32.56,1.03,0.52,3
"Polymeric",168.59,-41.93,"0.1 cm3",6,0.03,0.1264,29.33,0.81,1.71,0.75
"Polymeric",195.71,-29.6,"0.1 cm3",6,0.05,0.5356,29.8,1.95,19.93,1.58
"Polymeric",103.9,-3,"0.06 cm3",4,0.03,0.0624,1.25,0.05,0.15,0.21
"Liposome",122,-1,"0.08 cm3",1.5,0.06,0.341,15.92,2.04,0.54,1.06
"Polymeric",30,-25.8,"0.5 cm3",0.5,0.32,0.0377,6.78,0.06,0.05,0.11
"Copper",225.2,-18.57,"0.15 cm3",2,1.17,0.6177,19.44,0.14,0.38,1.24
"Polymeric",104.8451,-1.66452,"0.3 cm3",6,1.17,0.6177,19.44,0.14,0.38,1.24
"Polymeric",105.3977,-1.86774,"0.3 cm3",6,3.47,0.2725,5.1,0.08,0.35,0.69
"Polymeric",90,-30.9,"0.2 cm3",3,0.07,0.014,0.21,0.01,0.03,0.07
"Polymeric",141,-27.2,"0.1 cm3",4,1.08,0.4909,16.53,0.48,0.96,1.26
"Polymeric",106,-13.5,"0.1 cm3",4,0.53,0.6055,15.27,0.56,1.03,0.98
"Silica",72.9,-21.24,"0.1 cm3",1,0.05,0.036,45.68,1.16,0.53,1.24
"Silica",76.97,-21.24,"0.1 cm3",1,0.04,0.031,26.57,0.37,1.45,0.59
"Silica",110,-7.43,"0.09 cm3",12,0.59,0.1841,29.65,1.1,0.03,1.3
"Polymeric",165,-35.8,"0.3 cm3",2,0.89,0.0903,5.49,0.05,0.32,0.46
"Polymeric",162,-37.2,"0.3 cm3",2,0.98,0.0903,5.29,0.05,0.31,0.56
"Polymeric",94.29,-12.03,"0.1 cm3",1,1.77,0.795,33.32,0.79,1.61,1.81
"Polymeric",42.35,-17.81,"0.1 cm3",1,1.1,0.9674,31.86,0.75,1.01,2.61
"Liposome",53,-12.5,"0.1 cm3",3,8.53,0.275,23.39,6.61,5.23,5.51
"Polymeric",144.13,-33.82,"0.5 cm3",0.5,0.86,0.3298,6.39,0.73,0.23,1.17
"Polymeric",159.44,-37.97,"0.5 cm3",0.5,0.24,0.0145,0.69,0.11,0.05,0.23
"Polymeric",81.4,7.9,"0.1 cm3",2,2.17,0.9591,9.55,0.36,2.18,0.52
"Manganese",35,7.9,"0.0625 cm3",4,0.71,0.1176,25.06,0.61,0.82,2.28
"Gold",10.3,-17.6,"0.1 cm3",0.166667,1.55,0.9713,10.13,0.48,1.13,2.6
"Liposome",105,-37.864,"0.5 cm3",0.083333,0.12,0.0349,0.67,0.05,0.02,0.06
"Polymeric",114.7,-23.9,"0.05 cm3",0.333333,0.15,0.1709,3.54,0.19,0.38,0.62
"Polymeric",122.5,-14.1,"0.05 cm3",0.333333,0.23,0.1368,3.75,0.24,0.36,0.55
"Dendrimer",80.85,-9.03,"1 cm3",1,7.74,0.1481,18.37,0.29,2,1.89
"Polymeric",13.231,-0.7,"0.3 cm3",1,1.08,0.1852,17.79,0.63,0.54,1.39
"Polymeric",21.444,-0.8,"0.3 cm3",1,0.83,0.2546,12.96,0.19,0.61,1.39
"Polymeric",56.333,-0.11,"0.3 cm3",1,0.83,0.2083,13.47,0.15,0.54,1.31
