Core_Material,Size,Zeta_Potential,Tumor_Size,Tumor,Heart,Liver,Spleen,Lung,Kidney
,,,,0.63,0.2439,5.12,0.22,0.3,1.33
Hydrogel,TEM: 192; HD: 193,-25.7,100 mm3=0.1 cm3,0.26,0.92,17.21,0.59,0.87,5.16
,,,,0.35,0.6085,12.3,0.74,1.03,3.31
,,,,0.3,0.3912,9.46,0.66,0.68,2.27
,,,,0.22,0.355,5.93,0.81,0.58,1.19
,,,,0.22,0.2608,4.03,0.89,0.44,1.1
,,,,0.12,0.2354,2.68,0.51,0.11,0.32
,,,,0.08,0.1594,2.15,0.47,0.12,0.32
Dendrimer,HD: 8,-1.3,~1.75 cm3 (from Wilhelm 2016),1.63,0.8112,19.37,0.49,0.88,6.05
,,,,4.77,0.718,7.56,0.36,0.95,5.24
,,,,6.41,0.6577,7.01,0.24,0.62,3.41
,,,,13.61,0.5481,6.85,0.23,0.46,3.6
,,,,8.97,0.2795,7.22,0.19,0.25,2.77
,,,,10.54,0.2192,9.68,0.52,0.19,1.92
Polymeric,HD: 6.6,-1.46,~1.75 cm3 (from Wilhelm 2016),2.4,0.4824,4.27,0.34,0.9,4.37
,,,,4.46,0.2307,2.16,0.24,0.37,2.35
,,,,3.98,0.1337,1.4,0.12,0.25,1.07
,,,,5.49,0.0734,0.7,0.06,0.11,0.73
,,,,0.14,0.0105,0.22,0.01,0.02,0.31
,,,,0.17,0.0105,0.1,0.05,0.01,0.16
Polymeric,HD: 6,2.28,~1.75 cm3 (from Wilhelm 2016),1.23,0.4062,33.89,0.69,0.77,19.19
,,,,1.23,0.2739,38.71,0.73,0.34,16.72
,,,,1.84,0.1511,40.94,0.65,0.21,15.96
,,,,1.38,0.1322,41.66,0.38,0.25,13.39
,,,,1.38,0.0567,36.76,0.42,0.15,11.4
,,,,0.61,0.0378,17.48,0.49,0.08,8.39
Dendrimer,HD: 5.85,19.77,100 mm3=0.1 cm3,0.27,,,,,
,,,,0.26,,,,,
,,,,0.25,,,,,
,,,,0.28,,,,,
,,,,0.27,,,,,
,,,,0.26,,,,,
Dendrimer,HD: 16.92,-6.51,100 mm3=0.1 cm3,0.34,,,,,
,,,,0.32,,,,,
,,,,0.65,,,,,
,,,,1.3,,,,,
,,,,1.59,,,,,
,,,,1.75,,,,,
Dendrimer,HD: 5,,0.9 cm3,1.68,0.7024,8.16,0.5,1.31,5.31
,,,,3.65,0.4145,3.6,0.27,0.54,2.11
,,,,2.52,0.2303,3.07,0.25,0.26,1.47
,,,,2.52,0.2418,3.07,0.39,0.26,1.68
,,,,1.78,0.1727,2.63,0.22,0.17,1.09
Dendrimer,HD: 5,,0.9 cm3,1.36,1.0752,10.32,0.8,1.28,2.68
,,,,6.46,0.7056,10.41,0.66,0.78,3.58
,,,,7.37,0.56,12.54,0.59,0.27,3.69
,,,,9.64,0.6272,15.95,0.64,0.31,2.03
,,,,6.28,0.6272,11.77,0.45,0.25,1.29
Other-VNP,HD: 95,-36,~200 mm3 = 0.2 cm3 (from Wilhelm 2016),0.03,0.0093,41.11,3.56,0.05,0.08
,,,,0.09,0.0253,9.71,2.53,0.06,0.21
,,,,0.01,0.0027,0.61,1.05,0.01,0.05
Polymeric,HD: 16.4,-19.2,~1.75 cm3 (from Wilhelm 2016),2.77,1.3953,10.6,0.37,2.75,8.7
,,,,6.19,1.3837,8.17,0.33,2,5.28
,,,,7.33,1.2558,7.02,0.29,1.94,4.78
,,,,7.33,0.8023,6.64,0.25,1.22,3.88
,,,,4.88,0.3256,4.85,0.26,0.68,2.37
,,,,1.14,0.1977,2.81,0.38,0.19,1.28
Other-Anticancer drug,HD: 163,-4.34,100 mm3=0.1 cm3,2.08,0.4551,17.73,0.47,0.72,0.98
,,,,2.85,0.4551,17.01,0.56,0.82,1.33
,,,,3.26,0.3783,21.47,0.72,1.05,1.68
,,,,3.64,0.5574,20.77,0.75,1.23,1.69
,,,,4.08,0.5247,18.87,0.65,0.86,1.66
Other-Anticancer drug,HD: 221,-4.34,100 mm3=0.1 cm3,1.78,0.4445,19.91,0.49,0.86,0.83
,,,,2.44,0.4551,20.64,0.56,1.15,1.22
,,,,2.84,0.4149,26.11,0.73,1.06,1.66
,,,,2.84,0.5817,23.49,0.84,1.37,1.71
,,,,3.14,0.5613,20.72,0.72,0.91,1.66
Other-Anticancer drug,HD: 324,-4.34,100 mm3=0.1 cm3,1.55,0.4445,21.44,0.46,0.95,0.78
,,,,2.08,0.4551,21.6,0.54,1.22,1.16
,,,,2.29,0.4271,28.44,0.72,1.18,1.53
,,,,2.52,0.5999,24.6,0.86,1.55,1.59
,,,,2.66,0.5613,23.7,0.75,1.04,1.68
Other-Anticancer drug,HD: 402,-4.34,100 mm3=0.1 cm3,1.38,0.4445,27.97,0.5,1.03,0.78
,,,,1.8,0.4974,27.25,0.7,1.29,1.11
,,,,1.91,0.4759,35.41,0.77,1.38,1.46
,,,,2.16,0.618,31.98,0.92,1.57,1.55
,,,,2.44,0.5491,36.9,0.81,1.23,1.48
Other-SLN,HD: 85.8,71.3,50-100 mm3 = 0.075 cm3,0.16,0.4994,39.44,2.51,1.08,4.87
,,,,0.19,0.3543,40.48,1.8,1.15,1.24
,,,,0.1,0.0498,7.09,0.19,0.09,0.09
Other-SLN,HD: 134.7,0.6,50-100 mm3 = 0.075 cm3,0.23,0.4206,42.04,2.62,1.88,5.04
,,,,0.34,0.4633,26.99,1.95,1.41,1.46
,,,,0.43,0.0648,4.1,0.15,0.12,0.18
Other-SLN,HD: 168.2,-0.8,50-100 mm3 = 0.075 cm3,0.2,0.3943,34.03,2.7,1.52,4.39
,,,,0.36,0.4633,24.7,1.5,1.07,0.84
,,,,0.46,0.0548,3.3,0.11,0.07,0.09
Other-SLN,TEM: 358; HD: 387,-46.6,0.9 cm3,0.11,0.004,1.6,0.02,0.72,0.09
,,,,0.14,0.004,1.43,0.09,0.89,0.33
,,,,0.38,0.0013,2.24,0.19,0.13,0.12
Polymeric,HD: 164.7,-30.5,100 mm3=0.1 cm3,0.25,0.0632,6.94,0.4,0.25,1.04
,,,,0.34,0.0512,4.38,0.49,0.3,1.36
,,,,0.46,0.0361,3.07,0.29,0.2,0.98
,,,,0.62,0.0211,1.88,0.17,0.1,0.36
Polymeric,HD: 175.3,-27.2,100 mm3=0.1 cm3,0.44,0.0481,3.83,0.33,0.16,0.76
,,,,0.58,0.0361,4.61,0.28,0.07,1.13
,,,,0.65,0.0271,2.36,0.18,0,0.56
,,,,0.74,0.015,1.26,0.09,0,0.24
Polymeric,HD: 171.7,-32.8,100 mm3=0.1 cm3,0.39,0.037,5.15,0.37,0.15,0.79
,,,,0.47,0.0337,3.9,0.42,0.21,1.18
,,,,0.54,0.0236,2.54,0.24,0.13,0.73
,,,,0.7,0.0034,1.49,0.12,0.02,0.26
Polymeric,HD: 186.9,-29.5,100 mm3=0.1 cm3,0.76,0.0303,3.92,0.31,0.05,0.64
,,,,0.84,0.0269,2.67,0.24,0.06,0.89
,,,,0.94,0.0168,1.41,0.13,0.01,0.46
,,,,1.01,0,0.44,0.06,0,0.1
Polymeric,HD: 134,,100 mm3=0.1 cm3,0.03,0.5713,37.07,2.83,0.48,1.26
,,,,0.05,0.0846,9.99,0.84,0.19,0.83
,,,,0.02,0.1693,3.55,0.57,0.08,0.48
Other-Albumin,TEM: 158.2; HD: 158.2,-18.1,100 mm3=0.1 cm3,2.13,,,,,
,,,,1.08,,,,,
,,,,0.73,,,,,
Other-Albumin,TEM: 147.6; HD: 147.6,-20.5,100 mm3=0.1 cm3,4.77,,,,,
,,,,1.47,,,,,
,,,,1.07,,,,,
Polymeric,HD: 174,-22.9,50 mm3 = 0.05 cm3,0.04,0.0228,0.56,0.02,0.09,0.16
,,,,0.07,0.0101,0.43,0.01,0.06,0.05
,,,,0.06,0.0061,0.38,0.01,0.06,0.04
,,,,0.06,0.0039,0.27,0.01,0.04,0.03
,,,,0.05,0.002,0.21,0.01,0.03,0.02
,,,,0.04,0.0017,0.16,0,0.02,0.02
,,,,0.02,9e-4,0.03,0,0,0.01
,,,,0.02,0.0011,0.02,0,0,0
,,,,0.01,6e-4,0.01,0,0,0
Polymeric,HD: 98,-3.4,60 mm3 = 0.06 cm3,0.24,,,,,
,,,,0.13,,,,,
,,,,0.11,,,,,
Polymeric,HD: 94,-3.4,60 mm3 = 0.06 cm3,1.15,,,,,
,,,,1.23,,,,,
,,,,0.4,,,,,
Polymeric,HD: 104,-3.4,60 mm3 = 0.06 cm3,1.89,,,,,
,,,,2.03,,,,,
,,,,0.62,,,,,
Polymeric,HD: 96,-3.4,60 mm3 = 0.06 cm3,4.47,,,,,
,,,,3.51,,,,,
,,,,1.32,,,,,
Polymeric,HD: 103,-3.4,60 mm3 = 0.06 cm3,14.65,,,,,
,,,,6.93,,,,,
,,,,2.72,,,,,
Polymeric,HD: 185.9,-24.7,60 mm3 = 0.06 cm3,0.01,,3.93,0.33,,0.15
,,,,0.04,,4.25,0.3,,0.24
,,,,0.08,,3.53,0.28,,0.45
,,,,0.13,,3.71,0.25,,0.58
,,,,0.19,,2.62,0.21,,0.47
,,,,0.16,,2.22,0.16,,0.48
,,,,0.14,,1.71,0.12,,0.37
,,,,0.12,,1.2,0.08,,0.25
Polymeric,HD: 176.6,-23.1,60 mm3 = 0.06 cm3,0.003,,5.28,0.41,,0.22
,,,,0.02,,4.92,0.45,,0.36
,,,,0.04,,4.23,0.38,,0.72
,,,,0.07,,3.64,0.32,,0.62
,,,,0.1,,2.4,0.25,,0.5
,,,,0.1,,2.7,0.19,,0.35
,,,,0.09,,1.89,0.12,,0.39
,,,,0.04,,1.49,0.07,,0.22
Polymeric,HD: 108,-2.3,100 mm3=0.1 cm3,0.15,,2.37,0.71,0.73,0.68
,,,,0.38,,3.83,0.61,0.41,1
,,,,0.35,,6.13,1.33,0.74,1.02
,,,,0.45,,9.48,0.81,0.63,1.23
,,,,2.78,,7.74,1.8,0.47,1.58
,,,,1.08,,3.69,1.39,0.18,0.79
Polymeric,HD: 49.9,0.09,100 mm3=0.1 cm3,0.03,,2.7,0.04,0.07,0.35
,,,,0.22,,5.41,0.16,0.19,1.71
,,,,0.39,,17.99,1.01,0.31,2.07
,,,,0.6,,20.42,1.36,0.31,3.66
,,,,0.5,,19.39,1.33,0.22,3.88
,,,,0.41,,8.48,0.81,0.13,1.21
,,,,0.18,,3.54,0.37,0.11,0.66
Polymeric,TEM: 18.6,-19.7,400 mm3 = 0.4 cm3,0.86,0.1231,4.27,0.14,0.26,0.87
,,,,1.01,0.052,5,0.19,0.3,0.64
,,,,1.01,0.0438,5.31,0.22,0.28,0.57
Polymeric,TEM: 22,-16.8,400 mm3 = 0.4 cm3,1.17,0.1121,5,0.16,0.33,0.78
,,,,1.55,0.052,5.67,0.23,0.39,0.62
,,,,1.62,0.0438,6.02,0.27,0.42,0.62
Liposome,TEM: 150; HD: 157.7,-17.4,100 mm3=0.1 cm3,0.03,0.5039,29.14,1.07,0.24,0.44
,,,,0.02,0.0361,25.13,0.8,0.16,0.16
,,,,0.01,0.0215,19.48,0.57,0.03,0.07
Polymeric,HD: 43,,100 mm3=0.1 cm3,0.23,,,,,
,,,,0.6,,,,,
,,,,0.48,,,,,
,,,,0.29,,,,,
Other-MWCNT,HD: 230.4,,100 mm3=0.1 cm3,3.79,8.4848,32.81,9.29,,10.51
,,,,5.5,7.6768,30.79,7.92,,8.48
,,,,7.38,6.9495,28.44,6.63,,9.62
,,,,7.66,4.202,22.63,2.59,,7.92
Other-MWCNT,HD: 230.1,-10,100 mm3=0.1 cm3,3.96,8.7273,33.05,9.45,,10.59
,,,,5.67,8,29.74,8.16,,8.81
,,,,7.6,7.1111,27.8,6.71,,9.94
,,,,7.66,5.0101,22.06,2.34,,8.16
Other-MWCNT,HD: 241,0,100 mm3=0.1 cm3,3.73,9.1313,38.38,9.29,,12.44
,,,,5.27,8.0808,31.43,7.11,,9.37
,,,,6.41,7.596,28.28,6.06,,10.34
,,,,7.21,5.1717,22.3,2.26,,8.32
Other-MWCNT,HD: 242.3,3.8,100 mm3=0.1 cm3,9.43,12.4444,38.71,1.29,,12.53
,,,,12.56,10.5051,36.77,3.56,,14.55
,,,,14.04,8.9697,32.16,2.59,,18.67
,,,,18.42,5.3333,28.28,2.67,,16.97
Other-MWCNT,HD: 240.3,-10,100 mm3=0.1 cm3,9.6,13.0909,38.87,1.54,,12.85
,,,,11.53,12.202,36.77,3.56,,18.02
,,,,14.89,9.2121,32.81,2.67,,19.07
,,,,18.7,5.2525,28.36,2.91,,17.45
Other-HA NPs,HD: 206.4,-20,300 mm3 = 0.3 cm3,0.66,,,,,
,,,,0.79,,,,,
,,,,0.97,,,,,
,,,,0.47,,,,,
Dendrimer,HD: 7.7,,50 mm3 = 0.05 cm3,2.08,,18.75,13.75,,51.25
,,,,8.4,,10.4,12,,35.2
,,,,6.37,,2.79,0.8,,25.07
Dendrimer,HD: 7.7,,50 mm3 = 0.05 cm3,5.37,,34.58,23.75,,58.33
,,,,7.95,,22,14.8,,46
,,,,10.94,,19.1,4.38,,33.83
Dendrimer,HD: 7.7,,50 mm3 = 0.05 cm3,6.91,,40.83,30,,60.83
,,,,10.15,,36.4,20,,55.6
,,,,13.86,,12.74,10.35,,48.56
Polymeric,TEM: 29.9; HD: 49.5,-1.3,100 mm3=0.1 cm3,0.26,0,5.14,0.34,0.94,1.8
,,,,0.39,0,5.05,0.4,0.63,1.22
,,,,0.7,0,5.02,0.61,0.58,1.33
,,,,1,0,6.87,0.77,0.57,1.22
,,,,1.04,0,4.8,0.82,0.25,0.9
,,,,0.46,0,3.04,0.59,0.22,0.68
Polymeric,TEM: 90; HD: 115,-20,20 mm3 = 0.02 cm3,0.06,0.0301,18.03,1.78,0.21,0.07
,,,,0.02,0.0195,15.44,2.01,0.17,0.06
,,,,0.02,0.021,16.84,1.68,0.14,0.05
,,,,0.01,0.0165,12.26,2.19,0.26,0.15
,,,,0.01,0.0165,14.12,1.67,0.17,0.1
Liposome,HD: 103.9,-15,~70 mm3 = 0.07 cm3,0.27,0.6371,5.38,0.47,0.68,1.21
,,,,0.43,0.5413,5.02,0.39,0.92,1.04
,,,,0.27,0.3072,2.36,0.25,0.36,0.54
,,,,0.19,0.1397,1.2,0.13,0.24,0.39
,,,,0.09,0.1091,0.86,0.08,0.14,0.25
Liposome,HD: 102.5,-39.5,~70 mm3 = 0.07 cm3,0.26,0.4296,6.99,0.43,0.61,1.02
,,,,0.35,0.4934,9.35,0.53,0.69,1.44
,,,,0.23,0.1889,6.78,0.28,0.26,0.55
,,,,0.2,0.1929,3.5,0.21,0.21,0.47
,,,,0.08,0.0732,1.12,0.05,0.09,0.19
Polymeric,HD: 35,-4,100 mm3=0.1 cm3,0.38,0.3019,18.4,0.65,0.84,2.67
,,,,0.38,0.0863,86.08,2.92,0.34,0.89
,,,,0.17,0.0863,46,2.65,0.21,0.44
Polymeric,HD: 100,-4,100 mm3=0.1 cm3,0.19,0.2324,7.9,0.43,0.28,1.8
,,,,0.49,0.1251,12.93,0.84,0.24,1.29
,,,,1.46,0.1251,20.97,1.91,0.17,1.1
Polymeric,HD: 110,-4,100 mm3=0.1 cm3,0.34,0.4156,6.33,1.48,0.68,2.23
,,,,0.9,0.3325,14.56,2.05,0.38,1.88
,,,,1.39,0.1385,24.06,3.2,0.16,1.77
Polymeric,HD: 100,-4,100 mm3=0.1 cm3,0.35,0.3863,6.73,1.5,0.7,2.22
,,,,0.91,0.3035,14.29,2.05,0.38,1.88
,,,,1.38,0.138,24.38,3.21,0.19,1.82
Polymeric,HD: 150,-4,100 mm3=0.1 cm3,0.22,0.327,7.89,3.3,0.85,2.47
,,,,0.77,0.3816,31.97,12.64,0.48,1.68
,,,,1.54,0.218,52.31,20.37,0.37,1.35
Polymeric,HD: 107.8,,60-90 mm3 = 0.075 cm3,0.22,0.3762,5.31,0.14,0.25,1.06
,,,,0.29,0.2994,2.7,0.07,0.12,0.7
,,,,0.38,0.348,3.12,0.05,0.09,0.62
,,,,0.25,0.0691,1.52,0.03,0.03,0.51
"Other-10-HCPT anticancer drug/ 
Polymeric",TEM: 16; HD: 25,,~250 mm3 = 0.25 cm3,1.54,0.318,38.78,2.24,0.66,1.48
,,,,1.83,0.1651,45.34,4.56,0.2,0.73
,,,,0.7,0.1121,46.89,4.95,0.15,0.66
Polymeric,HD: 115,-31.8,100 mm3=0.1 cm3,0.02,0.0291,27.15,0.33,0.05,1.89
,,,,0.08,0.0213,23.39,0.12,0.02,0.17
,,,,0.08,0.0174,19.63,0.06,0.01,0.12
,,,,0.08,0.0118,1.5,0.02,0.01,0.06
,,,,0.08,0.0049,0.26,0,0.01,0.04
Other-Albumin,HD: 113.3,10,150-200 mm3 = 0.175 cm3,0.06,0.0815,3.29,0.21,0.28,0.29
,,,,0.44,0.1233,3.22,0.29,0.43,0.21
,,,,1.33,0.1321,3.57,0.19,0.4,0.17
,,,,2.65,0.0595,2.31,0.07,0.23,0.07
Dendrimer,TEM: 140,21.7,100 mm3=0.1 cm3,0.06,,,,,
,,,,0.05,,,,,
,,,,0.04,,,,,
,,,,0.02,,,,,
,,,,0.01,,,,,
Dendrimer,HD: 6.7,16.3,100 mm3=0.1 cm3,3.53,2.1635,6.37,2.22,2.34,6.13
,,,,4.2,1.0216,2.28,0.3,1.5,5.23
,,,,4.82,2.1816,6.43,2.3,2.42,6.13
,,,,5.26,1.1203,2.36,0.35,1.53,5.31
Other-PMCN,HD: 69.1,36.7,100 mm3=0.1 cm3,13.76,3.0649,7.99,2.34,3.25,9.56
,,,,15.45,0.7813,3.97,0.72,1.92,7.75
,,,,16.79,3.125,8.02,2.36,3.3,9.55
,,,,18.07,0.8844,4.07,0.88,2,7.84
Polymeric,HD: 180,34.4,250-300 mm3 = 0.275 cm3,0.25,0.0295,5.32,0.36,1.2,0.15
,,,,0.3,0.0576,6.26,0.43,1.28,0.5
,,,,0.25,0.0319,7.63,0.52,1.29,0.14
,,,,0.24,0.0144,4.02,0.15,0.6,0.56
Polymeric,TEM: 149; HD: 152,-10.3,50 mm3 = 0.05 cm3,0.14,0.3362,23.38,0.99,0.84,1.97
,,,,0.15,0.282,25.53,1.18,1.08,1.03
,,,,0.11,0.1952,18.34,0.99,0.71,0.89
,,,,0.11,0.1302,13.05,0.83,0.48,0.27
Polymeric,TEM: 149; HD: 157,-8.8,50 mm3 = 0.05 cm3,0.25,0.3315,18.85,1.46,0.6,2.69
,,,,0.26,0.3425,19.61,1.18,0.72,2.25
,,,,0.22,0.2762,18.35,1.08,0.68,2.12
,,,,0.2,0.221,13.89,0.92,0.4,0.98
Polymeric,HD: 135,,100-150 mm3 = 0.125 cm3,0.12,0.1911,4.1,0.23,0.31,0.43
,,,,0.09,0.0917,1.86,0.13,0.19,0.27
,,,,0.03,0.0434,0.56,0.04,0.05,0.09
Liposome,HD: 154.6,,100-150 mm3 = 0.125 cm3,0.11,0.1857,2.33,0.35,0.21,0.36
,,,,0.18,0.1006,1.36,0.19,0.14,0.32
,,,,0.06,0.0436,0.47,0.06,0.04,0.09
Liposome,HD: 89,-40,100-150 mm3 = 0.125 cm3,0.08,,0.84,,,
,,,,0.1,,0.66,,,
,,,,0.12,,0.51,,,
Liposome,TEM: 150; HD: 138,-14,100-150 mm3 = 0.125 cm3,0.08,,0.57,,,
,,,,0.13,,0.46,,,
,,,,0.22,,0.18,,,
Liposome,TEM: 100; HD: 128,5,100-150 mm3 = 0.125 cm3,0.09,,0.51,,,
,,,,0.13,,0.44,,,
,,,,0.25,,0.24,,,
Liposome,HD: 20.4,3.91,100-200 mm3 = 0.15 cm3,0.01,0.0144,0.49,0.06,0.05,0.06
,,,,0.01,0.0057,0.31,0.05,0.01,0.05
,,,,0.01,0.0049,0.1,0.01,0,0.01
Liposome,HD: 110,-5.1,200-300 mm3 = 0.25 cm3 (from other tumor-bearing Kunming mice study),0.08,0.0488,0.77,0.1,0.11,0.1
,,,,0.14,0.0376,0.92,0.07,0.12,0.13
,,,,0.23,0.0179,0.64,0.04,0.07,0.17
Polymeric,HD: 111.3,-6.2,200-300 mm3 = 0.25 cm3 (from other tumor-bearing Kunming mice study),0.08,0.0376,1.02,0.11,0.19,0.06
,,,,0.19,0.0376,0.82,0.04,0.11,0.06
,,,,0.34,0.0132,0.7,0.04,0.05,0.14
Polymeric,HD: 105.3,-4.8,100 mm3=0.1 cm3,0.16,,2.5,0.38,0.69,1.57
,,,,0.19,,4.08,0.6,0.78,1.15
,,,,0.21,,2.09,0.36,0.42,0.54
,,,,0.23,,5.46,1.13,0.58,1.12
,,,,0.72,,3.88,1.67,0.3,0.97
,,,,0.34,,2.86,1.86,0.16,0.81
Polymeric,HD: 143,0,100 mm3=0.1 cm3,0.31,,,,,
,,,,0.38,,,,,
,,,,0.25,,,,,
Polymeric,HD: 145,0,100 mm3=0.1 cm3,0.32,,,,,
,,,,0.36,,,,,
,,,,0.27,,,,,
Other-Albumin,HD: 148,0,100 mm3=0.1 cm3,0.37,,,,,
,,,,0.48,,,,,
,,,,0.4,,,,,
Other-Albumin,TEM: 85; HD: 100.5,-23.1,100 mm3=0.1 cm3,0.03,0.1885,,,,
,,,,0.03,0.1417,,,,
,,,,0.04,0.1288,,,,
,,,,0.05,0.1276,,,,
,,,,0.06,0.0901,,,,
,,,,0.04,0.0831,,,,
,,,,0.03,0.0784,,,,
,,,,0.03,0.0457,,,,
Dendrimer,TEM: 85; HD: 100.5,-23.1,100 mm3=0.1 cm3,0.03,0.1709,,,,
,,,,0.03,0.1101,,,,
,,,,0.04,0.1229,,,,
,,,,0.05,0.0983,,,,
,,,,0.06,0.0679,,,,
,,,,0.04,0.0632,,,,
,,,,0.04,0.0527,,,,
,,,,0.04,0.0375,,,,
Dendrimer,HD: 227,30.3,,0.35,,,,,
,,,,1.32,,,,,
,,,,3.25,,,,,
,,,,8.13,,,,,
,,,,7.32,,,,,
,,,,7.91,,,,,
Polymeric,HD: 148,18.4,,0.27,,,,,
,,,,3.81,,,,,
,,,,11.55,,,,,
,,,,19.29,,,,,
,,,,38.32,,,,,
,,,,49.38,,,,,
Polymeric,HD: 106.8,35.6,200 mm3 = 0.2 cm3,0.18,1.124,12.94,0.75,0.24,7.2
,,,,0.34,0.7209,8.19,1.02,0.14,3.15
,,,,0.25,0.4887,5.21,0.28,0.04,2.74
,,,,0.1,0.2688,3.16,0.01,0.04,1.36
,,,,0.02,0.11,2.79,0.02,0.04,1.01
,,,,0.03,0.0855,2.7,0.28,0.02,0.83
Polymeric,HD: 227.3,28.3,200 mm3 = 0.2 cm3,0.19,0.6598,14.7,0.24,0.14,8.28
,,,,0.4,1.0019,9.4,0.14,0.13,4.83
,,,,0.25,0.6475,12.28,0.19,0.08,4.86
,,,,0.23,0.4032,3.91,0.15,0.02,2.97
,,,,0.1,0.3054,3.54,0.12,0.02,1.86
,,,,0,0.0977,2.23,0.01,0.02,0.55
Polymeric,HD: 106.8,35.6,200 mm3 = 0.2 cm3,0.14,0.5344,16.55,0.63,0.24,6.68
,,,,0.3,0.4394,11.58,0.54,0.15,3.94
,,,,0.37,0.4156,5.43,0.2,0.07,3.28
,,,,0.09,0.19,2.53,0.09,0.08,1.76
,,,,0.07,0.095,3.8,0.18,0.03,0.49
,,,,0,0.1069,1.54,0.06,0.02,0.49
Polymeric,HD: 227.3,28.3,200 mm3 = 0.2 cm3,0.21,0.285,10.31,0.13,0.3,5.38
,,,,0.62,0.57,11.76,0.23,0.22,5.06
,,,,0.61,0.4631,12.39,0.12,0.2,4.57
,,,,0.33,0.2613,3.71,0.12,0.14,1.86
,,,,0.02,0.2494,4.16,0.02,0.03,0.54
,,,,0,0.2494,1.45,0.02,0.02,0.37
Polymeric,TEM: 90; HD: 96.6,0,400-600 mm3 = 0.5 cm3,2.03,1.2309,24.85,1.01,1.2,3.48
,,,,0.81,1.0364,11.46,0.44,1.01,2.54
,,,,0.77,0.2267,3.34,0.38,0.23,0.88
,,,,0.49,0.0556,0.77,0.1,0.12,0.29
,,,,0.56,0.0242,0.19,0.02,0.03,0.08
,,,,0.21,0.001,0.02,0,0.01,0.01
Polymeric,HD: 125.5,-7.4,50 mm3 = 0.05 cm3,0.13,0.7015,3.86,0.38,0.24,0.78
,,,,0.15,0.9159,5.86,0.55,1,1.02
,,,,0.19,1.1205,5.42,0.59,1.2,2.33
,,,,0.29,0.7308,5.86,0.47,0.84,1.39
Other-Albumin,HD: 130.4,-2.3,50 mm3 = 0.05 cm3,0.22,0.5846,2.75,0.31,0.25,0.7
,,,,0.27,0.8867,5.94,0.42,0.86,1
,,,,0.35,1.1497,4.82,0.43,1.06,1.53
,,,,0.38,0.7015,5.34,0.4,0.61,0.88
Polymeric,HD: 125,,100 mm3=0.1 cm3,0.24,0.3415,3.22,0.41,0.3,0.93
,,,,0.25,0.10780000000000001,2.59,0.21,0.59,0.3
,,,,0.24,0.01,1.35,0.68,0.39,0.54
Polymeric,TEM: 125; HD: 182.6,-22.6,~1500 mm3 = 1.5 cm3,2.17,0.0454,7.95,0.18,0.36,0.15
,,,,8.29,0.0681,21.85,0.26,0.58,0.35
,,,,11.11,0.0999,28.25,0.4,0.77,0.55
,,,,8.76,0.0817,24.48,0.34,0.53,0.45
,,,,8.01,0.0499,18.88,0.17,0.32,0.24
,,,,6.41,0.0045,13.8,0.06,0.16,0.17
,,,,4.52,0,8.47,0.04,0.06,0.1
,,,,3.01,0,5.29,0,0,0
Polymeric,HD: 152,0,50 mm3 = 0.05 cm3,0.24,1.4584,14.28,0.43,0.26,5.09
,,,,0.58,2.2025,31.06,0.21,0.61,4.6
,,,,0.72,0.9524,6.12,2.68,1.63,3.19
,,,,0.96,1.1608,7.25,1.26,0.38,3.68
Polymeric,HD: 163,0,50 mm3 = 0.05 cm3,0.27,0.9274,5.7,1.17,0.99,1.66
,,,,0.47,1.2565,34.63,1.36,3.13,2.53
,,,,0.6,2.154,17.55,2.72,2.78,6.1
,,,,0.78,1.9147,11.17,0.67,0.88,4.56
Liposome,HD: 152,0,50 mm3 = 0.05 cm3,0.7,0.9573,48.08,1.29,0.32,4.56
,,,,1,1.3163,31.9,0.74,1.35,5.05
,,,,1.14,1.795,18.68,1.93,0.64,6.66
,,,,1.56,1.5856,12.76,0.67,0.96,3.45
Liposome,HD: 93,-32.2,200-300 mm3 = 0.25 cm3,0.03,0.0679,4.29,,0.05,1.08
,,,,0.1,0.1289,7.65,,0.11,0.53
,,,,0.23,0.2036,7.03,,0.05,0.8
,,,,0.09,0.095,4.34,,0.01,0.46
Other-HA NPs,HD: 102,-12.2,200-300 mm3 = 0.25 cm3,0.09,0.0814,4.44,,0.06,0.96
,,,,0.26,0.1493,6.93,,0.08,0.56
,,,,0.61,0.1086,6.93,,0.06,0.84
,,,,0.24,0.0611,3.46,,0.01,0.45
Other-HA NPs,HD: 180.2,-20.3,100 mm3=0.1 cm3,0.05,0.0045,0.24,0,0.01,0.05
,,,,0.13,0.0064,0.49,0,0,0.13
,,,,0.05,0.0051,0.41,0,0.01,0.11
Other-CPDG NPs,HD: 130.5,-8.2,100 mm3=0.1 cm3,0.06,0.0032,0.48,0,0.01,0.11
,,,,0.14,0.0045,0.61,0,0,0.12
,,,,0.07,0.0032,0.44,0,0.01,0.12
Liposome,HD: 54.4,-22.3,100 mm3=0.1 cm3,2.78,,58.77,,,0.92
,,,,1.38,,29.62,,,0.51
,,,,0.62,,24.87,,,0.36
,,,,0.22,,8.92,,,0.21
Other-Albumin,HD: 12.4,27.2,1 cm3,0.36,,9.89,0.55,0.14,4.53
,,,,6.36,,14.92,0.01,0.06,2.65
,,,,2.36,,1.04,0.01,0.01,0.3
